id	has_phys_det	num_phys_boxes	yolo_conf_max	stn_pmax_max	stn_entropy_mean	p_b2_max	p_b3_max	p_b6_max	p_b7_max	p_b8_max	tem_pc1	tem_pc2	tem_pc3	hum_pc1	hum_pc2	hum_pc3	dew_pc1	dew_pc2	dew_pc3	co2_pc1	area	grow
1000006_20211129_2_3_c6_3_2_13_1_253	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000009_20211129_2_3_c6_3_2_13_1_256	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000011_20211129_2_3_c6_3_2_13_1_258	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000017_20211129_2_3_c6_3_2_13_1_264	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000018_20211129_2_3_c6_3_2_13_1_265	1	1	0.345520765	0.72757405	0.591527462	9.79E-06	5.15E-06	0.271570265	0.72757405	0.000840718	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000023_20211129_2_3_c6_3_2_13_1_270	1	1	0.511307538	0.924787939	0.2688182	1.49E-06	9.23E-07	0.924787939	0.074924938	0.000284772	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000025_20211129_2_3_c6_3_2_13_1_272	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000027_20211129_2_3_c6_3_2_13_1_274	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000035_20211129_2_3_c6_3_2_13_1_282	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000040_20211129_2_3_c6_3_2_13_1_287	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000042_20211129_2_3_c6_3_2_13_1_289	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000043_20211129_2_3_c6_3_2_13_1_290	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000046_20211129_2_3_c6_3_2_13_1_293	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000049_20211129_2_3_c6_3_2_13_1_296	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000053_20211129_2_3_c6_3_2_13_1_300	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000056_20211129_2_3_c6_3_2_13_1_303	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000058_20211129_2_3_c6_3_2_13_1_305	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000072_20211129_2_3_c6_3_2_13_1_319	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000084_20211129_2_3_c6_3_2_13_1_331	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000085_20211129_2_3_c6_3_2_13_1_332	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000086_20211129_2_3_c6_3_2_13_1_333	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
1000090_20211129_2_3_c6_3_2_13_1_337	0	0	0	0	0	0	0	0	0	0	-57.35607823	-33.12110996	5.829210718	75.85556657	45.08620041	14.65066684	-38.28333428	33.26850238	-15.50861409	1292.677332	3	13
