id,area,grow,meta_found
1000006_20211129_2_3_c6_3_2_13_1_253,3,13,1
1000009_20211129_2_3_c6_3_2_13_1_256,3,13,1
1000011_20211129_2_3_c6_3_2_13_1_258,3,13,1
1000017_20211129_2_3_c6_3_2_13_1_264,3,13,1
1000018_20211129_2_3_c6_3_2_13_1_265,3,13,1
1000023_20211129_2_3_c6_3_2_13_1_270,3,13,1
1000025_20211129_2_3_c6_3_2_13_1_272,3,13,1
1000027_20211129_2_3_c6_3_2_13_1_274,3,13,1
1000035_20211129_2_3_c6_3_2_13_1_282,3,13,1
1000040_20211129_2_3_c6_3_2_13_1_287,3,13,1
1000042_20211129_2_3_c6_3_2_13_1_289,3,13,1
1000043_20211129_2_3_c6_3_2_13_1_290,3,13,1
1000046_20211129_2_3_c6_3_2_13_1_293,3,13,1
1000049_20211129_2_3_c6_3_2_13_1_296,3,13,1
1000053_20211129_2_3_c6_3_2_13_1_300,3,13,1
1000056_20211129_2_3_c6_3_2_13_1_303,3,13,1
1000058_20211129_2_3_c6_3_2_13_1_305,3,13,1
1000072_20211129_2_3_c6_3_2_13_1_319,3,13,1
1000084_20211129_2_3_c6_3_2_13_1_331,3,13,1
1000085_20211129_2_3_c6_3_2_13_1_332,3,13,1
1000086_20211129_2_3_c6_3_2_13_1_333,3,13,1
1000090_20211129_2_3_c6_3_2_13_1_337,3,13,1
1000096_20211129_2_3_c6_3_2_13_1_343,3,13,1
1000100_20211129_2_3_c6_3_2_13_1_347,3,13,1
1000104_20211129_2_3_c6_3_2_13_1_351,3,13,1
1000106_20211129_2_3_c6_3_2_13_1_353,3,13,1
1000108_20211129_2_3_c6_3_2_13_1_355,3,13,1
1000110_20211129_2_3_c6_3_2_13_1_357,3,13,1
1000111_20211129_2_3_c6_3_2_13_1_358,3,13,1
1000117_20211129_2_3_c6_3_2_13_1_364,3,13,1
1000125_20211129_2_3_c6_3_2_13_1_372,3,13,1
1000126_20211129_2_3_c6_3_2_13_1_373,3,13,1
1000128_20211129_2_3_c6_3_2_13_1_375,3,13,1
1000130_20211129_2_3_c6_3_2_13_1_377,3,13,1
1000132_20211129_2_3_c6_3_2_13_1_379,3,13,1
1000133_20211129_2_3_c6_3_2_13_1_380,3,13,1
1000138_20211129_2_3_c6_3_2_13_1_385,3,13,1
1000149_20211129_2_3_c6_3_2_13_1_396,3,13,1
1000151_20211129_2_3_c6_3_2_13_1_398,3,13,1
1000152_20211129_2_3_c6_3_2_13_1_399,3,13,1
1000153_20211129_2_3_c6_3_2_13_1_400,3,13,1
1000154_20211129_2_3_c6_3_2_13_1_401,3,13,1
1000157_20211129_2_3_c6_3_2_13_1_404,3,13,1
1000158_20211129_2_3_c6_3_2_13_1_405,3,13,1
1000166_20211129_2_3_c6_3_2_13_1_413,3,13,1
1195824_20211029_2_3_c5_3_2_13_1_0,3,13,1
1195837_20211030_2_3_c5_3_2_13_1_7,3,13,1
1195839_20211030_2_3_c5_3_2_13_1_9,3,13,1
1195840_20211030_2_3_c5_3_2_13_1_10,3,13,1
1195846_20211030_2_3_c5_3_2_13_1_16,3,13,1
1195847_20211030_2_3_c5_3_2_13_1_17,3,13,1
1195849_20211030_2_3_c5_3_2_13_1_19,3,13,1
1195852_20211030_2_3_c5_3_2_13_1_22,3,13,1
1195853_20211030_2_3_c5_3_2_13_1_23,3,13,1
1195854_20211030_2_3_c5_3_2_13_1_24,3,13,1
1195860_20211030_2_3_c5_3_2_13_1_30,3,13,1
1195877_20211030_2_3_c5_3_2_13_1_47,3,13,1
1195878_20211030_2_3_c5_3_2_13_1_48,3,13,1
1195881_20211030_2_3_c5_3_2_13_1_51,3,13,1
1195883_20211030_2_3_c5_3_2_13_1_53,3,13,1
1195884_20211030_2_3_c5_3_2_13_1_54,3,13,1
1195894_20211030_2_3_c5_3_2_13_1_64,3,13,1
1195896_20211030_2_3_c5_3_2_13_1_66,3,13,1
1195904_20211030_2_3_c5_3_2_13_1_74,3,13,1
1195909_20211030_2_3_c5_3_2_13_1_79,3,13,1
1195910_20211030_2_3_c5_3_2_13_1_80,3,13,1
1195911_20211030_2_3_c5_3_2_13_1_81,3,13,1
1195918_20211030_2_3_c5_3_2_13_1_88,3,13,1
1195919_20211030_2_3_c5_3_2_13_1_89,3,13,1
1195922_20211030_2_3_c5_3_2_13_1_92,3,13,1
1195925_20211030_2_3_c5_3_2_13_1_95,3,13,1
1195926_20211030_2_3_c5_3_2_13_1_96,3,13,1
1195927_20211030_2_3_c5_3_2_13_1_97,3,13,1
1195933_20211030_2_3_c5_3_2_13_1_103,3,13,1
1195935_20211030_2_3_c5_3_2_13_1_105,3,13,1
1195951_20211030_2_3_c5_3_2_13_1_121,3,13,1
1195961_20211030_2_3_c5_3_2_13_1_131,3,13,1
1195965_20211030_2_3_c5_3_2_13_1_135,3,13,1
1195966_20211030_2_3_c5_3_2_13_1_136,3,13,1
1195972_20211030_2_3_c5_3_2_13_1_142,3,13,1
1195974_20211030_2_3_c5_3_2_13_1_144,3,13,1
1195975_20211030_2_3_c5_3_2_13_1_145,3,13,1
1195988_20211030_2_3_c5_3_2_13_1_158,3,13,1
1195994_20211030_2_3_c5_3_2_13_1_164,3,13,1
1195996_20211030_2_3_c5_3_2_13_1_166,3,13,1
1195999_20211030_2_3_c5_3_2_13_1_169,3,13,1
1196004_20211030_2_3_c5_3_2_13_1_174,3,13,1
1196011_20211030_2_3_c5_3_2_13_1_181,3,13,1
1196012_20211030_2_3_c5_3_2_13_1_182,3,13,1
1196014_20211030_2_3_c5_3_2_13_1_184,3,13,1
1196026_20211030_2_3_c5_3_2_13_1_196,3,13,1
1196028_20211030_2_3_c5_3_2_13_1_198,3,13,1
1196035_20211030_2_3_c5_3_2_13_1_205,3,13,1
1196043_20211030_2_3_c5_3_2_13_1_213,3,13,1
1196047_20211030_2_3_c5_3_2_13_1_217,3,13,1
1196056_20211030_2_3_c5_3_2_13_1_226,3,13,1
1196058_20211030_2_3_c5_3_2_13_1_228,3,13,1
1196062_20211030_2_3_c5_3_2_13_1_232,3,13,1
1196065_20211030_2_3_c5_3_2_13_1_235,3,13,1
1196066_20211030_2_3_c5_3_2_13_1_236,3,13,1
1196076_20211030_2_3_c5_3_2_13_1_246,3,13,1
1196078_20211030_2_3_c5_3_2_13_1_248,3,13,1
1196079_20211030_2_3_c5_3_2_13_1_249,3,13,1
1196080_20211030_2_3_c5_3_2_13_1_250,3,13,1
1196083_20211030_2_3_c5_3_2_13_1_253,3,13,1
1196086_20211030_2_3_c5_3_2_13_1_256,3,13,1
1196090_20211030_2_3_c5_3_2_13_1_260,3,13,1
1196092_20211030_2_3_c5_3_2_13_1_262,3,13,1
1196095_20211030_2_3_c5_3_2_13_1_265,3,13,1
1196096_20211030_2_3_c5_3_2_13_1_266,3,13,1
1196097_20211030_2_3_c5_3_2_13_1_267,3,13,1
1196100_20211030_2_3_c5_3_2_13_1_270,3,13,1
1196108_20211030_2_3_c5_3_2_13_1_278,3,13,1
1196117_20211030_2_3_c5_3_2_13_1_287,3,13,1
1196118_20211030_2_3_c5_3_2_13_1_288,3,13,1
1196120_20211030_2_3_c5_3_2_13_1_290,3,13,1
1196126_20211030_2_3_c5_3_2_13_1_296,3,13,1
1196128_20211030_2_3_c5_3_2_13_1_298,3,13,1
1196130_20211030_2_3_c5_3_2_13_1_300,3,13,1
1196131_20211030_2_3_c5_3_2_13_1_301,3,13,1
1196134_20211030_2_3_c5_3_2_13_1_304,3,13,1
1196136_20211030_2_3_c5_3_2_13_1_306,3,13,1
1196140_20211030_2_3_c5_3_2_13_1_310,3,13,1
1196142_20211030_2_3_c5_3_2_13_1_312,3,13,1
1196145_20211030_2_3_c5_3_2_13_1_315,3,13,1
1196153_20211030_2_3_c5_3_2_13_1_323,3,13,1
1196159_20211030_2_3_c5_3_2_13_1_329,3,13,1
1196162_20211030_2_3_c5_3_2_13_1_332,3,13,1
1196165_20211030_2_3_c5_3_2_13_1_335,3,13,1
1196166_20211030_2_3_c5_3_2_13_1_336,3,13,1
1196167_20211030_2_3_c5_3_2_13_1_337,3,13,1
1196172_20211030_2_3_c5_3_2_13_1_342,3,13,1
1196175_20211030_2_3_c5_3_2_13_1_345,3,13,1
1196177_20211030_2_3_c5_3_2_13_1_347,3,13,1
1196178_20211030_2_3_c5_3_2_13_1_348,3,13,1
1196183_20211030_2_3_c5_3_2_13_1_353,3,13,1
1196185_20211030_2_3_c5_3_2_13_1_355,3,13,1
1196186_20211030_2_3_c5_3_2_13_1_356,3,13,1
1196188_20211030_2_3_c5_3_2_13_1_358,3,13,1
1196192_20211030_2_3_c5_3_2_13_1_362,3,13,1
1196193_20211030_2_3_c5_3_2_13_1_363,3,13,1
1196194_20211030_2_3_c5_3_2_13_1_364,3,13,1
1196197_20211030_2_3_c5_3_2_13_1_367,3,13,1
1196204_20211030_2_3_c5_3_2_13_1_374,3,13,1
1196208_20211030_2_3_c5_3_2_13_1_378,3,13,1
1196213_20211030_2_3_c5_3_2_13_1_383,3,13,1
1196226_20211030_2_3_c5_3_2_13_1_396,3,13,1
1196229_20211030_2_3_c5_3_2_13_1_399,3,13,1
1196239_20211030_2_3_c5_3_2_13_1_409,3,13,1
1196248_20211030_2_3_c5_3_2_13_1_418,3,13,1
1196251_20211030_2_3_c5_3_2_13_1_421,3,13,1
1196256_20211030_2_3_c5_3_2_13_1_426,3,13,1
1196260_20211030_2_3_c5_3_2_13_1_430,3,13,1
1196262_20211030_2_3_c5_3_2_13_1_432,3,13,1
1196263_20211030_2_3_c5_3_2_13_1_433,3,13,1
1196266_20211030_2_3_c5_3_2_13_1_436,3,13,1
1196267_20211030_2_3_c5_3_2_13_1_437,3,13,1
1196270_20211030_2_3_c5_3_2_13_1_440,3,13,1
1196273_20211030_2_3_c5_3_2_13_1_443,3,13,1
1196275_20211030_2_3_c5_3_2_13_1_445,3,13,1
1196278_20211030_2_3_c5_3_2_13_1_448,3,13,1
1196280_20211030_2_3_c5_3_2_13_1_450,3,13,1
1196283_20211030_2_3_c5_3_2_13_1_453,3,13,1
1196288_20211030_2_3_c5_3_2_13_1_458,3,13,1
1196289_20211030_2_3_c5_3_2_13_1_459,3,13,1
1196296_20211030_2_3_c5_3_2_13_1_466,3,13,1
1196299_20211030_2_3_c5_3_2_13_1_469,3,13,1
1196303_20211030_2_3_c5_3_2_13_1_473,3,13,1
1196307_20211030_2_3_c5_3_2_13_1_477,3,13,1
1196309_20211030_2_3_c5_3_2_13_1_479,3,13,1
1196313_20211030_2_3_c5_3_2_13_1_483,3,13,1
1196314_20211030_2_3_c5_3_2_13_1_484,3,13,1
1196315_20211030_2_3_c5_3_2_13_1_485,3,13,1
1196321_20211030_2_3_c5_3_2_13_1_491,3,13,1
1196322_20211030_2_3_c5_3_2_13_1_492,3,13,1
1196334_20211030_2_3_c5_3_2_13_1_504,3,13,1
1196336_20211030_2_3_c5_3_2_13_1_506,3,13,1
1196343_20211030_2_3_c5_3_2_13_1_513,3,13,1
1196347_20211030_2_3_c5_3_2_13_1_517,3,13,1
1196348_20211030_2_3_c5_3_2_13_1_518,3,13,1
1196351_20211030_2_3_c5_3_2_13_1_521,3,13,1
1196355_20211030_2_3_c5_3_2_13_1_525,3,13,1
1196359_20211030_2_3_c5_3_2_13_1_529,3,13,1
1196361_20211030_2_3_c5_3_2_13_1_531,3,13,1
